Attended,ID,Date,Event,
Yes,10288,8/7/09,Hendrix Night at the Travelers 2009,
Yes,10288,7/31/08,Hendrix Night at the Travs 2008,
Yes,10288,4/9/05,Doe's YPC Event,
Yes,10288,2/25/05,Marty & Tricia Rhodes Challenge Event,
Yes,10288,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10288,4/16/04,Alumni Weekend 2004,
Yes,10288,8/21/03,YPC event honoring Lucile Shivley,
Yes,10288,,Hendrix Night at the Travs 2007,
Yes,10290,4/20/13,Alumni Weekend 2013 - Memorial Service,
Yes,10290,4/19/13,Alumni Weekend 2013,
Yes,10292,4/20/13,Alumni Weekend 2013 - Class of 1993,
Yes,10292,1/23/01,Hendrix Night at The Rep 2001,
Yes,10298,4/16/04,Alumni Weekend 2004,
Yes,10299,10/27/04,Founders Weekend 04,
Yes,10300,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10300,4/4/14,Alumni Weekend 2014,
Yes,10300,4/16/04,Alumni Weekend 2004,
Yes,10305,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10305,4/4/14,Alumni Weekend 2014,
Yes,10305,4/3/09,Alumni Weekend 2009,
Yes,10305,4/16/04,Alumni Weekend 2004,
Yes,10309,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10309,4/4/14,Alumni Weekend 2014,
Yes,10309,1/23/01,Hendrix Night at The Rep 2001,
Yes,10313,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10314,7/24/06,Houston Happy Hour 7-06,
Yes,10314,11/13/01,Houston Alumni Chapter Event 11-01,
Yes,10315,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10315,9/7/13,Football Tailgating additional parking 090713,
Yes,10315,4/21/12,Alumni Weekend 2012 - Class of 1997 Reunion Party,
Yes,10315,8/7/09,Hendrix Night at the Travelers 2009,
Yes,10315,7/31/08,Hendrix Night at the Travs 2008,
Yes,10315,,Hendrix Night at the Travs 2007,
Yes,10318,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10318,5/12/09,Little Rock Huddle May 09,
Yes,10318,3/14/07,Hendrix Night at the Rep 2007,
Yes,10318,2/9/06,Goodbye Grove Gym events,
Yes,10318,4/16/04,Alumni Weekend 2004,
Yes,10318,1/29/02,Hendrix Night at the Rep 2002,
Yes,10321,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10321,4/4/14,Alumni Weekend 2014,
Yes,10321,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10321,4/16/04,Alumni Weekend 2004,
Yes,10323,4/16/04,Alumni Weekend 2004,
Yes,10325,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10326,1/29/02,Hendrix Night at the Rep 2002,
Yes,10327,1/29/02,Hendrix Night at the Rep 2002,
Yes,10328,12/2/12,Candlelight Carol Service 2012,
Yes,10328,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10329,3/4/14,Leadership Reception 2014,
Yes,10329,12/2/12,Candlelight Carol Service 2012,
Yes,10329,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,1033,4/21/06,Alumni Weekend 2006,
Yes,1033,4/18/02,Alumni Weekend 02,
Yes,10330,4/4/14,Alumni Weekend 2014,
Yes,10331,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10331,4/5/14,Alumni Weekend 2014 - Reception for Nancy Fleming,
Yes,10331,4/4/14,Alumni Weekend 2014,
Yes,10331,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10332,11/2/06,St. Louis Target City event 11-06,
Yes,10332,12/4/05,Candlelight Carol 2005,
Yes,10332,5/17/05,Kresge Award Banquet(honoring Lucile Shivley) 5-05,
Yes,10332,4/28/05,Scholars Luncheon 4-05,
Yes,10332,4/16/05,Leadership Donors' Reception AW 05,
Yes,10332,2/25/05,Marty & Tricia Rhodes Challenge Event,
Yes,10332,2/1/05,Hendrix Night at the Rep 2005,
Yes,10332,10/27/04,Founders Weekend 04,
Yes,10332,9/19/04,Rock the Vote Brunch 9-04,
Yes,10332,6/12/04,Alumni Summit 04,
Yes,10332,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10332,4/16/04,Alumni Weekend 2004,
Yes,10332,3/16/04,Tom Goodwin Professor of the Year Reception,
Yes,10332,1/20/04,Hendrix Night at the Rep 2004,
Yes,10332,11/13/03,Women's Connection 2003,
Yes,10332,8/21/03,YPC event honoring Lucile Shivley,
Yes,10332,5/9/03,Board of Trustees Lunch with Priddys,
Yes,10332,4/22/03,Fayetteville Alumni Chapter 03,
Yes,10332,11/14/02,Memphis Alumni Chapter Event 11-14-02,
Yes,10332,5/17/02,Inaugural Ball Guest Responses,
Yes,10332,4/5/02,Southwest AR Reception in Texarkana 4-02,
Yes,10332,1/29/02,Hendrix Night at the Rep 2002,
Yes,10332,12/2/01,Candlelight Carol Service Reception 01,
Yes,10332,11/7/01,Fayetteville Alumni Event 11-01,
Yes,10332,9/22/01,Board of Governors 9-01,
Yes,10332,8/3/01,Hendrix Night at the Travs 01,
Yes,10332,7/14/01,LR Cocktail Buffet Farewell Party for AHD,
Yes,10332,5/9/00,Pre-Inauguration Reception-Conway Friends of Tim,
Yes,10336,8/2/12,Hendrix Night at the Travs 2012,
Yes,10336,6/25/10,Hendrix Night At The Travs 2010,
Yes,10336,8/7/09,Hendrix Night at the Travelers 2009,
Yes,10336,,Football Donor Reception October 2013,
Yes,10338,7/31/08,Hendrix Night at the Travs 2008,
Yes,10339,11/9/06,Little Rock Huddle 11-09-06,
Yes,10339,5/18/06,Little Rock Huddle 5-18-06,
Yes,10339,4/21/06,Alumni Weekend 2006,
Yes,10339,,Little Rock Huddle September 2008,
Yes,1034,4/21/06,Alumni Weekend 2006,
Yes,1034,4/20/02,Reunion Party AW 02,
Yes,1034,4/18/02,Alumni Weekend 02,
Yes,10340,,FY 2014-15 Office Mugshot Visits,
Yes,10343,,Hendrix Night at the Travs 2007,
Yes,10344,,Hendrix Night at the Travs 2007,
Yes,10345,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10351,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10351,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10352,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10353,4/17/10,Alumni Weekend 2010-1970 Class Party,
Yes,10354,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10354,4/5/14,Alumni Weekend 2014 - Reception for Nancy Fleming,
Yes,10354,4/4/14,Alumni Weekend 2014,
Yes,10354,1/12/10,YPC Event 2010,
Yes,10354,4/16/04,Alumni Weekend 2004,
Yes,10355,,FY 2013-14 Office Mugshot Visits,
Yes,10360,2/9/06,Goodbye Grove Gym events,
Yes,10360,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10360,4/1/04,"Hendrix Out to Lunch, Spring 2004",
Yes,10360,,Hendrix Night at the Travs 2007,
Yes,10361,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10361,4/4/14,Alumni Weekend 2014,
Yes,10361,10/12/13,Football 2013 - Oct. 12 Tailgating,
Yes,10361,10/12/13,Football Tailgating additional parking 101213,
Yes,10361,3/5/13,Alumni Birthday Bash - March 2013,
Yes,10361,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,10361,8/7/09,Hendrix Night at the Travelers 2009,
Yes,10361,,Hendrix Night at the Travs 2007,
Yes,10365,4/18/15,Inauguration of President Tsutsui for Class Repres,
Yes,10365,4/3/09,Alumni Weekend 2009,
Yes,10365,4/17/04,Alumni Weekend 04 - Hendrix-in-London Reunion,
Yes,10365,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10365,4/16/04,Alumni Weekend 2004,
Yes,10366,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10366,4/4/14,Alumni Weekend 2014,
Yes,10367,10/27/06,UCA-Hendrix Alumni Game 10-06,
Yes,10367,2/9/06,Goodbye Grove Gym events,
Yes,10374,4/16/04,Alumni Weekend 2004,
Yes,10379,4/20/01,Alumni Weekend 2001,
Yes,10383,7/31/08,Hendrix Night at the Travs 2008,
Yes,10385,11/2/11,Hendrix Night on Capitol Hill,
Yes,10386,4/16/04,Alumni Weekend 2004,
Yes,10387,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10387,4/4/14,Alumni Weekend 2014,
Yes,10387,2/7/12,Hendrix Night at the Rep 2012,
Yes,10387,11/3/06,Goodbye Grove Swimming Event,
Yes,10387,2/25/05,Marty & Tricia Rhodes Challenge Event,
Yes,10387,4/17/04,Alumni Weekend 04 - Hendrix-in-London Reunion,
Yes,10387,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10387,4/16/04,Alumni Weekend 2004,
Yes,10387,3/23/02,Nashville Predators event 3-02,
Yes,10388,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10388,4/4/14,Alumni Weekend 2014,
Yes,10388,2/7/12,Hendrix Night at the Rep 2012,
Yes,10388,2/25/05,Marty & Tricia Rhodes Challenge Event,
Yes,10388,4/17/04,Alumni Weekend 04 - Hendrix-in-London Reunion,
Yes,10388,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
